CTCQS3CKSKHole pair | r_1 | r_2 
C2C3 | 0.0009250693802035153 | 0.0009250693802035153 
C2C4 | 0.0009250693802035153 | 0.0009250693802035153 
C2C5 | 0.0009250693802035153 | 0.0009250693802035153 
C2C6 | 0.0009250693802035153 | 0.0009250693802035153 
C2C7 | 0.0009250693802035153 | 0.0009250693802035153 
C2C8 | 0.0009250693802035153 | 0.0009250693802035153 
C2C9 | 0.0009250693802035153 | 0.0009250693802035153 
C2CT | 0.0 | 0.0 
C2CJ | 0.0009250693802035153 | 0.0009250693802035153 
C2CQ | 0.0 | 0.0 
C2CK | 0.0 | 0.0 
C2CA | 0.0009250693802035153 | 0.0009250693802035153 
C2D2 | 0.0009250693802035153 | 0.0009250693802035153 
C2D3 | 0.0009250693802035153 | 0.0009250693802035153 
C2D4 | 0.0009250693802035153 | 0.0009250693802035153 
C2D5 | 0.0009250693802035153 | 0.0009250693802035153 
C2D6 | 0.0009250693802035153 | 0.0009250693802035153 
C2D7 | 0.0009250693802035153 | 0.0009250693802035153 
C2D8 | 0.0009250693802035153 | 0.0009250693802035153 
C2D9 | 0.0009250693802035153 | 0.0009250693802035153 
C2DT | 0.0009250693802035153 | 0.0009250693802035153 
C2DJ | 0.0009250693802035153 | 0.0009250693802035153 
C2DQ | 0.0009250693802035153 | 0.0009250693802035153 
C2DK | 0.0009250693802035153 | 0.0009250693802035153 
C2DA | 0.0009250693802035153 | 0.0009250693802035153 
C2H2 | 0.0009250693802035153 | 0.0009250693802035153 
C2H3 | 0.0009250693802035153 | 0.0009250693802035153 
C2H4 | 0.0009250693802035153 | 0.0009250693802035153 
C2H5 | 0.0009250693802035153 | 0.0009250693802035153 
C2H6 | 0.0009250693802035153 | 0.0009250693802035153 
C2H7 | 0.0009250693802035153 | 0.0009250693802035153 
C2H8 | 0.0009250693802035153 | 0.0009250693802035153 
C2H9 | 0.0009250693802035153 | 0.0009250693802035153 
C2HT | 0.0009250693802035153 | 0.0009250693802035153 
C2HJ | 0.0009250693802035153 | 0.0009250693802035153 
C2HQ | 0.0009250693802035153 | 0.0009250693802035153 
C2HK | 0.0009250693802035153 | 0.0009250693802035153 
C2HA | 0.0009250693802035153 | 0.0009250693802035153 
C2S2 | 0.0009250693802035153 | 0.0009250693802035153 
C2S3 | 0.0 | 0.0 
C2S4 | 0.0009250693802035153 | 0.0009250693802035153 
C2S5 | 0.0009250693802035153 | 0.0009250693802035153 
C2S6 | 0.0009250693802035153 | 0.0009250693802035153 
C2S7 | 0.0009250693802035153 | 0.0009250693802035153 
C2S8 | 0.0009250693802035153 | 0.0009250693802035153 
C2S9 | 0.0009250693802035153 | 0.0009250693802035153 
C2ST | 0.0009250693802035153 | 0.0009250693802035153 
C2SJ | 0.0009250693802035153 | 0.0009250693802035153 
C2SQ | 0.0009250693802035153 | 0.0009250693802035153 
C2SK | 0.0 | 0.0 
C2SA | 0.0009250693802035153 | 0.0009250693802035153 
C3C4 | 0.0009250693802035153 | 0.0009250693802035153 
C3C5 | 0.0009250693802035153 | 0.0009250693802035153 
C3C6 | 0.0009250693802035153 | 0.0009250693802035153 
C3C7 | 0.0009250693802035153 | 0.0009250693802035153 
C3C8 | 0.0009250693802035153 | 0.0009250693802035153 
C3C9 | 0.0009250693802035153 | 0.0009250693802035153 
C3CT | 0.0 | 0.0 
C3CJ | 0.0009250693802035153 | 0.0009250693802035153 
C3CQ | 0.0 | 0.0 
C3CK | 0.0 | 0.0 
C3CA | 0.0009250693802035153 | 0.0009250693802035153 
C3D2 | 0.0009250693802035153 | 0.0009250693802035153 
C3D3 | 0.0009250693802035153 | 0.0009250693802035153 
C3D4 | 0.0009250693802035153 | 0.0009250693802035153 
C3D5 | 0.0009250693802035153 | 0.0009250693802035153 
C3D6 | 0.0009250693802035153 | 0.0009250693802035153 
C3D7 | 0.0009250693802035153 | 0.0009250693802035153 
C3D8 | 0.0009250693802035153 | 0.0009250693802035153 
C3D9 | 0.0009250693802035153 | 0.0009250693802035153 
C3DT | 0.0009250693802035153 | 0.0009250693802035153 
C3DJ | 0.0009250693802035153 | 0.0009250693802035153 
C3DQ | 0.0009250693802035153 | 0.0009250693802035153 
C3DK | 0.0009250693802035153 | 0.0009250693802035153 
C3DA | 0.0009250693802035153 | 0.0009250693802035153 
C3H2 | 0.0009250693802035153 | 0.0009250693802035153 
C3H3 | 0.0009250693802035153 | 0.0009250693802035153 
C3H4 | 0.0009250693802035153 | 0.0009250693802035153 
C3H5 | 0.0009250693802035153 | 0.0009250693802035153 
C3H6 | 0.0009250693802035153 | 0.0009250693802035153 
C3H7 | 0.0009250693802035153 | 0.0009250693802035153 
C3H8 | 0.0009250693802035153 | 0.0009250693802035153 
C3H9 | 0.0009250693802035153 | 0.0009250693802035153 
C3HT | 0.0009250693802035153 | 0.0009250693802035153 
C3HJ | 0.0009250693802035153 | 0.0009250693802035153 
C3HQ | 0.0009250693802035153 | 0.0009250693802035153 
C3HK | 0.0009250693802035153 | 0.0009250693802035153 
C3HA | 0.0009250693802035153 | 0.0009250693802035153 
C3S2 | 0.0009250693802035153 | 0.0009250693802035153 
C3S3 | 0.0 | 0.0 
C3S4 | 0.0009250693802035153 | 0.0009250693802035153 
C3S5 | 0.0009250693802035153 | 0.0009250693802035153 
C3S6 | 0.0009250693802035153 | 0.0009250693802035153 
C3S7 | 0.0009250693802035153 | 0.0009250693802035153 
C3S8 | 0.0009250693802035153 | 0.0009250693802035153 
C3S9 | 0.0009250693802035153 | 0.0009250693802035153 
