Sums: 484.65188728135234, 271.70111246987835 
CTCQS3CKSKHole pair | V_1 | V_2
C4C9 | 6.237478862812203 | 4.4331169555328085 
C5C9 | 6.237477522889163 | 4.433116592088014 
C7C9 | 6.23626053195245 | 4.435898732270539 
C9CA | 6.13939640671283 | 4.836740098636024 
C3C7 | 6.083319831297599 | 3.976910219452618 
C2C8 | 6.079248462621042 | 3.932546157025574 
C6C8 | 6.079154386370062 | 3.9340811595078575 
C4C8 | 6.0791349639492065 | 3.934082199066278 
C5C8 | 6.079133624026165 | 3.9340818356214844 
C7C8 | 6.077916633089451 | 3.936863975804009 
C3CJ | 5.992876376573068 | 4.646895478356393 
C3C6 | 5.946951255613245 | 3.6771815935235823 
C2C7 | 5.891189668459356 | 3.6864815109024147 
C6C7 | 5.891095592208378 | 3.688016513384698 
C4C7 | 5.891076169787521 | 3.688017552943119 
C5C7 | 5.891074829864481 | 3.688017189498325 
C7CA | 5.87752546165642 | 4.609867512986347 
C3C5 | 5.855192940626036 | 3.47921839654862 
C8CA | 5.838152346783029 | 4.4496776617786375 
C2C3 | 5.809439002899259 | 3.3787007814084147 
C3C4 | 5.809325504227424 | 3.380236823449119 
C2C6 | 5.754821092775003 | 3.3867528849733786 
C4C6 | 5.754707594103168 | 3.388288927014083 
C5C6 | 5.754706254180128 | 3.3882885635692888 
C2C5 | 5.663062777787797 | 3.188789687998416 
C4C5 | 5.662949279115962 | 3.1903257300391203 
C2C4 | 5.617195341389184 | 3.089808114898915 
C6CA | 5.564471235963789 | 4.321835168486973 
C4CA | 5.564462405012026 | 4.321862469408242 
C5CA | 5.564450745963726 | 4.321842152552332 
C2CA | 5.39050084390045 | 4.158228605975119 
CJHA | 4.8936796575136245 | 1.6224449936609853 
CJDA | 4.893679657513623 | 1.6224449936609853 
CJSA | 4.893679657513623 | 1.6224449936609853 
CASJ | 4.864714744166619 | 1.562102223519993 
CADJ | 4.864714744166617 | 1.5621022235199928 
CAHJ | 4.864714744166617 | 1.562102223519993 
DJHA | 4.668977378322573 | 1.1326877891806184 
DJSA | 4.668977378322573 | 1.1326877891806184 
DAHJ | 4.668977378322573 | 1.1326877891806184 
DASJ | 4.668977378322573 | 1.1326877891806184 
HJHA | 4.668977378322573 | 1.1326877891806184 
HJSA | 4.668977378322573 | 1.1326877891806184 
HASJ | 4.668977378322573 | 1.1326877891806184 
SJSA | 4.668977378322572 | 1.1326877891806184 
DJDA | 4.668977378322571 | 1.1326877891806186 
C9DJ | 4.4249593972274415 | 0.6822945484130508 
C9SJ | 4.4249593972274415 | 0.6822945484130507 
C9HJ | 4.424959397227441 | 0.6822945484130509 
CJH9 | 4.403537546871265 | 0.6326256282180361 
CJS9 | 4.403537546871265 | 0.632625628218036 
CJD9 | 4.403537546871264 | 0.632625628218036 
D9DJ | 4.224704044001871 | 0.2418503602819643 
D9HJ | 4.224704044001871 | 0.24185036028196435 
D9SJ | 4.224704044001871 | 0.24185036028196438 
DJH9 | 4.224704044001871 | 0.24185036028196427 
H9SJ | 4.224704044001871 | 0.24185036028196424 
S9SJ | 4.224704044001871 | 0.24185036028196427 
DJS9 | 4.22470404400187 | 0.24185036028196427 
H9HJ | 4.22470404400187 | 0.24185036028196433 
HJS9 | 4.22470404400187 | 0.2418503602819643 
CADK | 3.5898603642631413 | -1.6601344270594809 
CAHK | 3.5898603642631395 | -1.660134427059481 
